year,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
2017,,14890,,ZZ-00012,BATESVILLE,47006,RIPLEY,IN,0.00,0.00,0.00,"158,000.00",0.00,0.00,"158,000.00"
2017,,14890,,ZZ-00012,CINCINNATI,45208,HAMILTON,OH,0.00,0.00,0.00,"158,000.00",0.00,0.00,"158,000.00"
2017,,14890,,ZZ-00012,FLORENCE,41042,BOONE,KY,0.00,0.00,0.00,"158,000.00",0.00,0.00,"158,000.00"
2017,,14890,,ZZ-00012,KEARNEY,64060,CLAY,MO,0.00,0.00,0.00,"279,600.00",0.00,0.00,"279,600.00"
2017,,14890,,ZZ-00012,LAWRENCEBURG,47025,DEARBORN,IN,0.00,0.00,0.00,"158,000.00",0.00,0.00,"158,000.00"
2017,,14890,,ZZ-00012,SAINT JOHNS,32259,SAINT JOHNS,FL,0.00,0.00,0.00,"32,000.00",0.00,0.00,"32,000.00"
2017,,14940,,LA-00068,PORT ALLEN,70767,WEST BATON ROUGE,LA,0.00,0.00,0.00,"38,400.00",0.00,0.00,"38,400.00"
2017,,14969,,NC-00085,LUMBERTON,28360,ROBESON,NC,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
2017,,14969,,NC-00085,VIRGINIA BEACH,23453,VIRGINIA BEACH CITY,VA,0.00,0.00,0.00,"10,000.00",0.00,0.00,"10,000.00"
2017,,14977,,FL-00124,BUNNELL,32110,FLAGLER,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
2017,,14977,,FL-00124,DELTONA,32725,VOLUSIA,FL,0.00,0.00,0.00,"20,000.00",0.00,0.00,"20,000.00"
2017,,14977,,FL-00124,FLAGLER BEACH,32136,FLAGLER,FL,0.00,0.00,0.00,"24,600.00",0.00,0.00,"24,600.00"
2017,,14977,,FL-00124,ORMOND BEACH,32176,VOLUSIA,FL,0.00,0.00,0.00,"10,000.00",0.00,0.00,"10,000.00"
2017,,14980,,SC-00044,BLUFFTON,29910,BEAUFORT,SC,0.00,0.00,0.00,"144,200.00",0.00,0.00,"144,200.00"
2017,,14980,,SC-00044,HILTON HEAD ISLAND,29926,BEAUFORT,SC,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
2017,,14989,,AL-00076,SILAS,36919,CHOCTAW,AL,0.00,0.00,0.00,"51,500.00",0.00,0.00,"51,500.00"
2017,,15011,,AL-00079,CHICKASAW,36611,MOBILE,AL,0.00,0.00,0.00,"60,000.00",0.00,0.00,"60,000.00"
2017,,15059,,AL-00080,CLIO,36017,BARBOUR,AL,0.00,0.00,0.00,"187,100.00",0.00,0.00,"187,100.00"
2017,,15059,,AL-00080,EUFAULA,36027,BARBOUR,AL,0.00,0.00,0.00,"374,200.00",0.00,0.00,"374,200.00"
2017,,15059,,AL-00080,EUFAULA,36072,BARBOUR,AL,0.00,0.00,0.00,"374,200.00",0.00,0.00,"374,200.00"
2017,,15059,,AL-00080,GEORGETOWN,39854,QUITMAN,GA,0.00,0.00,0.00,"187,100.00",0.00,0.00,"187,100.00"
2017,,15071,,TN-00102,MCMINNVILLE,37110,WARREN,TN,0.00,0.00,0.00,"15,400.00",0.00,0.00,"15,400.00"
2017,,15077,,ND-00050,POLLOCK,57648,CAMPBELL,SD,0.00,0.00,0.00,"150,000.00",0.00,0.00,"150,000.00"
2017,,15106,,OR-00085,HOOD RIVER,97031,HOOD RIVER,OR,0.00,0.00,0.00,"89,100.00",0.00,0.00,"89,100.00"
2017,,15106,,OR-00085,MOUNT HOOD PARKDALE,97041,HOOD RIVER,OR,0.00,0.00,0.00,"22,200.00",0.00,0.00,"22,200.00"
2017,,15106,,OR-00085,STEVENSON,98648,SKAMANIA,WA,0.00,0.00,0.00,"9,100.00",0.00,0.00,"9,100.00"
2017,,15113,,CA-00270,GROVELAND,95321,TUOLUMNE,CA,0.00,0.00,0.00,"21,900.00",0.00,0.00,"21,900.00"
2017,,15114,,CA-00271,GROVELAND,95321,TUOLUMNE,CA,0.00,0.00,0.00,"18,000.00",0.00,0.00,"18,000.00"
2017,,15123,,ID-00064,WEISER,83672,WASHINGTON,ID,0.00,0.00,0.00,"4,700.00",0.00,0.00,"4,700.00"
2017,,15130,,ID-00066,TREMONTON,84337,BOX ELDER,UT,0.00,0.00,0.00,"200,000.00",0.00,0.00,"200,000.00"
2017,,15196,,ND-00053,HETTINGER,58639,ADAMS,ND,0.00,0.00,0.00,"200,000.00",0.00,0.00,"200,000.00"
2017,,15197,,SD-00074,EUREKA,57437,CAMPBELL,SD,0.00,0.00,0.00,"163,000.00",0.00,0.00,"163,000.00"
2017,,15205,,MT-00106,MOORE,59464,FERGUS,MT,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
2017,,15205,,MT-00106,SACO,59261,PHILLIPS,MT,0.00,0.00,0.00,"44,200.00",0.00,0.00,"44,200.00"
2017,,15213,,SD-00076,ABERDEEN,57401,BROWN,SD,0.00,0.00,0.00,"140,800.00",0.00,0.00,"140,800.00"
2017,,15213,,SD-00076,GETTYSBURG,57442,POTTER,SD,0.00,0.00,0.00,"200,000.00",0.00,0.00,"200,000.00"
2017,,15223,,TX-00486,LITTLEFIELD,79339,LAMB,TX,0.00,0.00,0.00,"100,000.00",0.00,0.00,"100,000.00"
2017,,15276,,CA-00276,KINGSBURG,93631,TULARE,CA,0.00,0.00,0.00,"143,000.00",0.00,0.00,"143,000.00"
2017,,15278,,MT-00108,HARDIN,59034,BIG HORN,MT,0.00,0.00,0.00,"100,000.00",0.00,0.00,"100,000.00"
2017,14893,14894,,NC-00079,EDENTON,27932,CHOWAN,NC,"197,328.00","143,808.00","53,520.00","215,300.00","138,000.00","51,700.00","25,600.00"
2017,14893,14894,,NC-00079,HOBGOOD,27843,HALIFAX,NC,"75,271.00","75,271.00",0.00,0.00,0.00,0.00,0.00
