year,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
2019,15742,15743,4399.0,FL-00140,ALFORD,32420,JACKSON,FL,3744250.0,3262237.0,482013.0,1944800.0,1668200.0,276600.0
2019,15742,15743,4399.0,FL-00140,ALFORD,32420,WASHINGTON,FL,178062.0,137332.0,40730.0,119100.0,94400.0,24700.0
2019,15742,15743,4399.0,FL-00140,ALLIGATOR POINT,32346,FRANKLIN,FL,513784.0,447859.0,65925.0,106600.0,93700.0,12900.0
2019,15742,15743,4399.0,FL-00140,ALTHA,32421,CALHOUN,FL,17594222.0,14952549.0,2641673.0,9947400.0,8478800.0,1468600.0
2019,15742,15743,4399.0,FL-00140,APALACHICOLA,32320,FRANKLIN,FL,1812552.0,1576667.0,235885.0,941900.0,835100.0,106800.0
2019,15742,15743,4399.0,FL-00140,APALACHICOLA,32329,FRANKLIN,FL,57032.0,32715.0,24317.0,6800.0,0.0,6800.0
2019,15742,15743,4399.0,FL-00140,BASCOM,32423,JACKSON,FL,2281918.0,1917523.0,364395.0,1357200.0,1169800.0,187400.0
2019,15742,15743,4399.0,FL-00140,BLOUNTSTOWN,32424,CALHOUN,FL,13614752.0,11658809.0,1955943.0,7722200.0,6552700.0,1169500.0
2019,15742,15743,4399.0,FL-00140,BONIFAY,32425,HOLMES,FL,1908429.0,1765400.0,143029.0,1182400.0,1098200.0,84200.0
2019,15742,15743,4399.0,FL-00140,BONIFAY,32425,WASHINGTON,FL,363190.0,356015.0,7175.0,251400.0,246500.0,4900.0
2019,15742,15743,4399.0,FL-00140,BRADENTON,34205,BAY,FL,47408.0,34258.0,13150.0,13200.0,0.0,13200.0
2019,15742,15743,4399.0,FL-00140,BRISTOL,32321,CALHOUN,FL,10577.0,7777.0,2800.0,2800.0,0.0,2800.0
2019,15742,15743,4399.0,FL-00140,BRISTOL,32321,LIBERTY,FL,6821737.0,6033177.0,788560.0,4134700.0,3705300.0,429400.0
2019,15742,15743,4399.0,FL-00140,CALLAWAY,32404,BAY,FL,18445714.0,13762344.0,4683370.0,9466600.0,7022300.0,2444300.0
2019,15742,15743,4399.0,FL-00140,CALLOWAY,32404,BAY,FL,373253.0,307228.0,66025.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,CAMPBELLTON,32426,JACKSON,FL,684535.0,508507.0,176028.0,399600.0,288000.0,111600.0
2019,15742,15743,4399.0,FL-00140,CAMPBELLTON,32426,WASHINGTON,FL,8559.0,8559.0,0.0,8600.0,8600.0,0.0
2019,15742,15743,4399.0,FL-00140,CAPE SAN BLAS,32456,GULF,FL,101386.0,39986.0,61400.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,CARRABELLE,32322,FRANKLIN,FL,3401823.0,2895706.0,506117.0,1742200.0,1436900.0,305300.0
2019,15742,15743,4399.0,FL-00140,CARYVILLE,32427,HOLMES,FL,18184.0,9822.0,8362.0,11600.0,9600.0,2000.0
2019,15742,15743,4399.0,FL-00140,CARYVILLE,32427,WASHINGTON,FL,133196.0,122961.0,10235.0,109200.0,98900.0,10300.0
2019,15742,15743,4399.0,FL-00140,CHATTAHOOCHEE,32324,GADSDEN,FL,3965661.0,3397075.0,568586.0,2305200.0,1990700.0,314500.0
2019,15742,15743,4399.0,FL-00140,CHIPLEY,32428,BAY,FL,69879.0,42929.0,26950.0,43400.0,19900.0,23500.0
2019,15742,15743,4399.0,FL-00140,CHIPLEY,32428,WASHINGTON,FL,11531515.0,9909249.0,1622266.0,6026800.0,5299100.0,727700.0
2019,15742,15743,4399.0,FL-00140,CLARKSVILLE,32430,CALHOUN,FL,5630597.0,4882035.0,748562.0,2821000.0,2368400.0,452600.0
2019,15742,15743,4399.0,FL-00140,COTTONDALE,32431,JACKSON,FL,7519935.0,6351403.0,1168532.0,4013500.0,3367500.0,646000.0
2019,15742,15743,4399.0,FL-00140,COTTONDALE,32431,WASHINGTON,FL,712415.0,631280.0,81135.0,416700.0,369200.0,47500.0
2019,15742,15743,4399.0,FL-00140,CRAWFORDVILLE,32326,WAKULLA,FL,5014.0,4804.0,210.0,5100.0,4900.0,200.0
2019,15742,15743,4399.0,FL-00140,CRAWFORDVILLE,32327,WAKULLA,FL,4507900.0,3649025.0,858875.0,2757600.0,2221500.0,536100.0
2019,15742,15743,4399.0,FL-00140,CRESTVIEW,32536,BAY,FL,40265.0,0.0,40265.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,CYPRESS,32432,JACKSON,FL,147941.0,125236.0,22705.0,49000.0,26200.0,22800.0
2019,15742,15743,4399.0,FL-00140,DELRAY BEACH,33444,BAY,FL,40900.0,0.0,40900.0,40000.0,0.0,40000.0
2019,15742,15743,4399.0,FL-00140,DONALSONVILLE,39845,SEMINOLE,GA,65315.0,39735.0,25580.0,63300.0,37700.0,25600.0
2019,15742,15743,4399.0,FL-00140,EASTPOINT,32328,FRANKLIN,FL,2433765.0,1930617.0,503148.0,1034400.0,818700.0,215700.0
2019,15742,15743,4399.0,FL-00140,EBRO,32437,BAY,FL,33451.0,17847.0,15604.0,23800.0,9600.0,14200.0
2019,15742,15743,4399.0,FL-00140,EBRO,32437,WASHINGTON,FL,54731.0,53281.0,1450.0,31300.0,29800.0,1500.0
2019,15742,15743,4399.0,FL-00140,FOUNTAIN,32438,BAY,FL,11697851.0,9798749.0,1899102.0,5836200.0,4816000.0,1020200.0
2019,15742,15743,4399.0,FL-00140,FOUNTAIN,32438,CALHOUN,FL,848770.0,636170.0,212600.0,444600.0,333400.0,111200.0
2019,15742,15743,4399.0,FL-00140,FOUNTAIN,32438,JACKSON,FL,84650.0,80015.0,4635.0,84700.0,80000.0,4700.0
2019,15742,15743,4399.0,FL-00140,FOUNTAIN,32438,WASHINGTON,FL,224670.0,189025.0,35645.0,204800.0,169100.0,35700.0
2019,15742,15743,4399.0,FL-00140,GRACEVILLE,32440,HOLMES,FL,151843.0,140423.0,11420.0,62800.0,60100.0,2700.0
2019,15742,15743,4399.0,FL-00140,GRACEVILLE,32440,JACKSON,FL,1378647.0,1195565.0,183082.0,858200.0,711000.0,147200.0
2019,15742,15743,4399.0,FL-00140,GRAND RIDGE,32442,CALHOUN,FL,354749.0,237854.0,116895.0,210100.0,126300.0,83800.0
2019,15742,15743,4399.0,FL-00140,GRAND RIDGE,32442,GADSDEN,FL,20183.0,13183.0,7000.0,16300.0,9300.0,7000.0
2019,15742,15743,4399.0,FL-00140,GRAND RIDGE,32442,JACKSON,FL,11105920.0,9511465.0,1594455.0,5871100.0,4945000.0,926100.0
2019,15742,15743,4399.0,FL-00140,GREENSBORO,32330,GADSDEN,FL,30458.0,29408.0,1050.0,24900.0,23800.0,1100.0
2019,15742,15743,4399.0,FL-00140,GREENWOOD,32443,JACKSON,FL,5770650.0,4834559.0,936091.0,2823800.0,2266600.0,557200.0
2019,15742,15743,4399.0,FL-00140,GRETNA,32332,GADSDEN,FL,613057.0,476662.0,136395.0,195300.0,164100.0,31200.0
2019,15742,15743,4399.0,FL-00140,GULF BREEZE,32563,BAY,FL,25146.0,19246.0,5900.0,25000.0,19100.0,5900.0
2019,15742,15743,4399.0,FL-00140,HAVANA,32333,GADSDEN,FL,2084133.0,1933450.0,150683.0,1293200.0,1199900.0,93300.0
2019,15742,15743,4399.0,FL-00140,HOSFORD,32334,LIBERTY,FL,1087147.0,980856.0,106291.0,750600.0,689900.0,60700.0
2019,15742,15743,4399.0,FL-00140,KINARD,32449,CALHOUN,FL,2152032.0,1618032.0,534000.0,1030800.0,741000.0,289800.0
2019,15742,15743,4399.0,FL-00140,LANARK VILLAGE,32323,FRANKLIN,FL,65040.0,48340.0,16700.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,LYNN HAVEN,32444,BAY,FL,130378803.0,102418472.0,27960331.0,70355000.0,54061500.0,16293500.0
2019,15742,15743,4399.0,FL-00140,LYNN HAVEN,32444,GULF,FL,112304.0,58929.0,53375.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,MALONE,32445,JACKSON,FL,1600753.0,1416723.0,184030.0,808800.0,724400.0,84400.0
2019,15742,15743,4399.0,FL-00140,MARIANNA,32443,JACKSON,FL,68960.0,66960.0,2000.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,MARIANNA,32446,BAY,FL,83149.0,81949.0,1200.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,MARIANNA,32446,JACKSON,FL,22953878.0,19552744.0,3401134.0,12677700.0,10841800.0,1835900.0
2019,15742,15743,4399.0,FL-00140,MARIANNA,32447,JACKSON,FL,208534.0,170444.0,38090.0,41600.0,33000.0,8600.0
2019,15742,15743,4399.0,FL-00140,MARIANNA,32448,JACKSON,FL,18809671.0,15675510.0,3134161.0,9888400.0,8060000.0,1828400.0
2019,15742,15743,4399.0,FL-00140,MEXICO BEACH,32410,BAY,FL,3694434.0,2702390.0,992044.0,890100.0,608800.0,281300.0
2019,15742,15743,4399.0,FL-00140,MEXICO BEACH,32410,GULF,FL,79100.0,0.0,79100.0,40000.0,0.0,40000.0
2019,15742,15743,4399.0,FL-00140,MEXICO BEACH,32456,BAY,FL,20836001.0,15234211.0,5601790.0,8628400.0,6193600.0,2434800.0
2019,15742,15743,4399.0,FL-00140,MEXICO BEACH,32456,GULF,FL,2176212.0,1550060.0,626152.0,1114800.0,788900.0,325900.0
2019,15742,15743,4399.0,FL-00140,MIDWAY,32343,GADSDEN,FL,571995.0,495995.0,76000.0,271200.0,256600.0,14600.0
2019,15742,15743,4399.0,FL-00140,OVERSTREET,32456,GULF,FL,112102.0,91102.0,21000.0,112200.0,91200.0,21000.0
2019,15742,15743,4399.0,FL-00140,P C BEACH,32408,BAY,FL,1195690.0,916090.0,279600.0,555000.0,417500.0,137500.0
2019,15742,15743,4399.0,FL-00140,P C BEACH,32413,BAY,FL,9796.0,8196.0,1600.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,PANACEA,32346,FRANKLIN,FL,115315.0,99425.0,15890.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,PANACEA,32346,WAKULLA,FL,1063070.0,827265.0,235805.0,689200.0,526600.0,162600.0
2019,15742,15743,4399.0,FL-00140,PANAMA CITY,32401,BAY,FL,90655750.0,68727493.0,21928257.0,46254000.0,34536500.0,11717500.0
2019,15742,15743,4399.0,FL-00140,PANAMA CITY,32401,GADSDEN,FL,500.0,0.0,500.0,0.0,0.0,0.0
2019,15742,15743,4399.0,FL-00140,PANAMA CITY,32401,GULF,FL,9300.0,0.0,9300.0,7300.0,0.0,7300.0
2019,15742,15743,4399.0,FL-00140,PANAMA CITY,32402,BAY,FL,370467.0,252187.0,118280.0,163800.0,96800.0,67000.0
2019,15742,15743,4399.0,FL-00140,PANAMA CITY,32403,BAY,FL,674699.0,46909.0,627790.0,428100.0,9200.0,418900.0
